Model,Brake Horsepower (BHP),Torque (Nm),Fuel Consumption (L/100km),CO2 Emissions (g/km),NOx Emissions (g/km),RPM (Revolutions Per Minute),Load Percentage,Coolant Temperature (°C),Oil Temperature (°C),Oil Pressure (kPa),Intake Manifold Pressure (kPa),Exhaust Back Pressure (kPa),Vibration Levels,Noise Levels (dB)
Volvo FH 520,455.5126505,2958.097028,10.43370752,208.525759,2.50977897,1049.910529,55.2328217,91.27342724,114.0535487,337.95097,126.5791943,25.88157231,0.365081495,74.83915574
Mahindra Blazo X 35,170.7348464,1511.647422,18.05234334,147.0841515,0.6904814,2233.739497,45.54122519,81.95150472,86.49024122,223.0756213,109.3511182,39.9708875,0.471130497,77.65970053
Eicher Pro 6025,327.4611939,1485.207444,18.50028035,200.1032354,1.059300344,1051.557767,11.25782125,93.69305921,92.32493963,288.3563852,90.0325351,19.30832825,0.935593077,79.6932702
Eicher Pro 6025,296.8485448,2410.503742,10.03515189,153.2389598,0.313547259,1566.45652,77.30941155,94.04771187,109.1864329,246.4676342,91.49215568,28.33845178,0.605829364,82.13121532
Volvo FH 520,392.6197963,1291.598749,4.15257552,384.8017259,4.867876675,1587.703096,95.72418305,82.36083653,91.0953842,241.4985258,85.93182225,39.63201404,0.948783646,87.68235196
Tata 407,194.9389047,2932.632694,12.87788472,148.9052218,2.68268629,1206.228372,71.38967269,85.43601494,67.27794892,210.190584,95.52690291,17.05698895,0.225218913,73.21613403
Eicher Pro 6025,307.4387468,1564.175064,14.74050872,152.2260507,4.856674384,1404.610055,73.13685384,95.23080553,110.9943357,261.558523,106.0922079,39.66386875,0.604243856,78.85649588
Mahindra Blazo X 35,409.1201744,1026.695154,18.49490238,159.3473241,1.426641652,1290.30096,57.02774816,96.10371253,84.30956001,226.1876576,111.1397772,46.01738238,0.529321197,75.08810431
Eicher Pro 6025,439.0281162,1368.274097,5.621786658,185.2537591,3.098146456,1540.639542,33.4947163,86.24332914,106.344601,215.438013,110.1526551,17.79209216,0.400219327,70.70018092
Ashok Leyland 2518,164.2129262,2987.882515,6.956540672,441.4673571,1.075385678,2090.312228,15.76469403,96.15694934,89.88384696,238.969765,74.78188988,33.31095241,0.258787368,76.10338866
Mahindra Blazo X 35,198.1661075,2871.00761,16.33724113,188.4496242,2.413550683,1887.698304,49.50678313,82.18828249,92.32033155,256.4020215,57.01126663,46.27892278,0.525256904,77.38518252
Volvo FH 520,427.5491006,1838.014252,14.84417829,380.9287447,1.970935551,2012.07385,98.25079547,81.33889569,116.3584187,317.8961355,103.2191761,24.06002406,0.21125616,76.17198628
Eicher Pro 6025,489.0429345,1432.680514,4.603722076,292.2830551,0.780005007,1191.645915,50.87131257,93.05188921,69.08586897,242.8463324,62.90650239,13.52068189,0.823579544,73.92858399
Mahindra Blazo X 35,265.5653363,2489.10744,10.38584357,377.3213739,2.029004444,2475.038929,96.47663998,92.0415666,76.0600496,363.5008654,98.16531799,19.58373313,0.447420828,86.07985362
Ashok Leyland 2518,187.9647882,2695.505312,13.04927725,203.2402384,4.962658868,1858.898799,55.95630947,83.90149233,117.5061382,318.0422987,71.04258273,41.31408042,0.543809129,86.1883714
Ashok Leyland 2518,170.7224322,2753.084254,12.27077801,140.3026978,0.11609374,2265.93322,55.4700592,95.54505222,112.0145653,396.7546102,99.03756045,47.49755319,0.71691173,89.40569999
Tata 407,255.8103987,1985.719362,15.27236124,428.7308279,1.625625064,1027.687309,23.17076287,93.33424376,84.67184097,276.8700539,68.70662301,27.14241783,0.111216482,88.80377433
Mahindra Blazo X 35,424.5476111,2704.267917,18.62224772,209.9676191,4.125521169,1867.039404,41.08253762,80.72194302,61.39393791,346.0817658,148.8511759,46.38356413,0.578263698,82.28885285
Eicher Pro 6025,340.3896325,1176.115123,6.827348013,349.4056873,4.866162805,1513.135998,86.28732361,80.37799135,68.9091486,394.2604998,52.32743482,47.75516897,0.155072575,77.203527
Volvo FH 520,180.2891627,1371.630184,19.67718396,364.4020465,1.684459701,2379.647176,71.6736479,86.49970231,73.78595177,262.9161289,91.91784308,49.38603428,0.968328418,88.68493023
Mahindra Blazo X 35,335.8621048,2058.874687,12.03483791,206.2357937,1.414125639,1367.250465,87.44716562,81.67212164,82.59469584,239.46003,64.1714898,21.48412911,0.506360893,88.33434967
Eicher Pro 6025,162.5628231,1749.43371,10.01445157,224.9751625,2.832819292,2377.263094,63.68142945,97.51731777,91.22227749,291.5880409,102.3726082,25.66740794,0.900410183,88.29671958
Ashok Leyland 2518,421.8558835,1348.021502,12.87180306,209.5774618,0.876450255,1076.164175,61.08211164,92.55466548,82.76454031,227.8358126,87.63700148,20.91643487,0.302068927,77.49489194
Volvo FH 520,276.6986864,2606.149851,15.70182034,136.6911558,4.469012939,1568.987342,67.92432153,84.56789492,87.0518745,314.2921032,88.27119927,25.21102006,0.745223642,78.57261071
Eicher Pro 6025,393.6630668,1820.653672,16.81294388,232.2797548,1.975755213,2335.421197,86.41458292,85.2443596,116.6468718,246.5690095,144.3596817,40.17864928,0.724381527,81.09859992
Tata 407,297.0568127,2131.774153,8.427040276,355.0390509,0.669386989,2438.333582,47.42282788,85.42421999,113.2611333,252.2833713,147.8180697,16.596878,0.363066251,87.10447729
Eicher Pro 6025,320.0770006,2116.210851,5.574992323,308.9355329,4.60384767,1710.868045,55.93157194,87.14949151,83.0087462,373.5996684,70.07509344,21.11826084,0.512383714,83.32159204
Tata 407,190.4444899,2630.004503,19.38557622,260.8787523,4.347011966,1079.358631,35.42693728,91.58229574,69.86081176,309.8330114,139.6742216,48.11650279,0.149393764,81.67374496
Volvo FH 520,409.6118741,1132.204241,16.16445847,189.0088014,2.881124857,1954.676568,54.54308577,81.57223409,69.29168033,225.1425072,56.06745262,43.94689518,0.652670235,84.84620123
Volvo FH 520,206.2466405,1403.232813,14.92271098,185.9060103,2.901724392,1650.176053,11.57551101,91.07020213,87.94710749,215.0371872,73.48367264,24.94944215,0.868510474,74.62526175
Eicher Pro 6025,154.1383411,1968.511672,19.48654943,348.3629893,4.534035233,1027.338492,19.56391447,98.21199593,95.45144409,311.7117386,99.29481785,27.62962674,0.493383168,86.40180292
Eicher Pro 6025,489.9955821,2824.690423,10.18258575,329.8276926,3.918438458,2128.449551,91.67040781,86.72971565,79.2139497,312.6305357,110.0644201,32.75632385,0.926763248,86.55005251
Volvo FH 520,347.8478575,1984.459523,12.28303405,413.3832781,4.386463401,1088.437708,70.95993766,84.78823432,107.1597752,290.1683906,100.3858955,44.60012402,0.372624767,80.52962101
Mahindra Blazo X 35,236.0984962,1462.295328,18.52038774,481.6826313,0.800654792,1821.296401,10.3023903,93.99494419,119.8609379,310.579846,50.59371673,29.50021152,0.58080777,77.52061663
Tata 407,409.1149421,1100.375895,4.65515494,147.7245293,2.015522094,2061.081438,26.74043096,88.19015448,114.1613345,289.4294914,138.7493699,48.56194209,0.907027426,79.4184951
Volvo FH 520,228.3664222,2099.238811,10.0386466,364.2492863,3.763373097,1331.09146,74.27582944,80.95255048,113.4512557,291.7985585,121.1905873,46.36260504,0.458912835,85.55251761
Tata 407,389.9445076,1376.526021,19.14631327,117.3958288,0.671892865,1943.968232,33.33314971,83.40902092,96.02818105,256.7422459,114.101749,23.48575776,0.112754039,83.69641007
Volvo FH 520,167.4054847,2128.423407,6.560737357,429.6086635,0.406822152,1281.257431,66.01552939,83.19661623,118.7502224,223.5465099,59.81694821,38.02286694,0.246168097,81.64155344
Ashok Leyland 2518,264.0032663,2355.421546,19.93831884,477.7311734,4.210460787,1873.167024,60.17856893,93.10936071,61.25319233,398.39829,109.1818219,14.12384156,0.813419988,80.66977544
Tata 407,159.8505276,2805.37529,19.25129389,301.3322139,4.50991692,2051.253057,80.0231905,97.51669252,92.64637631,396.5100444,88.35760499,30.19365365,0.640333515,76.5987041
Tata 407,315.3607316,2771.750644,15.61176531,389.3465629,1.804285053,2090.98046,65.84819446,97.59315994,87.48235967,345.1677861,127.8413153,48.73313897,0.932313838,71.29638414
Tata 407,192.7179821,1525.56999,6.073652017,391.4444466,0.482350291,2302.700082,61.86504913,80.95474645,72.05306046,275.7392314,88.00039171,24.04252008,0.159599186,85.3848269
Mahindra Blazo X 35,214.8824868,2501.665227,4.07717111,218.5866257,3.671783575,1079.826561,30.54239226,92.56981527,108.6447959,232.1600616,89.65021776,20.12032383,0.193362457,88.60682862
Mahindra Blazo X 35,179.348571,1616.253495,8.239809965,143.5176467,1.710380688,2265.66741,80.508845,99.39453519,88.76454341,228.0491131,105.2283692,37.78699554,0.53914718,89.8178013
Ashok Leyland 2518,173.5282525,2312.264549,14.02347208,276.7773875,3.442726814,1882.823973,76.4166523,92.12069676,101.0061669,242.606085,91.40191622,19.80786566,0.697887133,78.95068141
Mahindra Blazo X 35,411.0889326,2687.208583,17.43257751,208.1320398,1.163102186,1332.043005,47.33812284,94.76054181,109.5822197,334.302056,99.17043229,39.11100885,0.642446875,84.03572553
Volvo FH 520,326.4817691,2898.77471,11.83168009,380.6964337,4.837346297,2207.194551,88.43088797,83.6588442,87.32524884,285.6871184,85.57057238,42.53296141,0.252102876,77.94420764
Tata 407,404.8365625,2358.777826,16.48010763,364.5598661,1.751469962,1348.333847,74.75550723,82.73815216,83.01062387,227.0986909,94.33169755,26.82999076,0.517953112,76.92817812
Tata 407,445.9931084,2186.476776,17.77053544,494.8485729,4.714951886,2219.221104,45.79748828,91.26306052,79.54151574,337.7716235,121.3916581,38.17533618,0.678665257,78.57945736
Ashok Leyland 2518,274.954148,1082.363276,5.60665311,142.2827394,4.215016732,1072.026012,27.42547635,91.2949797,61.56971917,393.2468598,80.57129315,48.09054818,0.315980841,88.28034343
Tata 407,323.3926528,2240.866907,10.53207153,286.1267189,3.977574309,1769.272894,46.96630117,94.29935469,74.04410746,396.9216804,143.6380154,45.55063711,0.801570932,73.66309513
Mahindra Blazo X 35,265.7188128,2459.687609,14.94647606,277.3604547,2.371283151,1760.141658,15.15836588,84.21888059,115.8079794,382.7104597,62.41544636,26.8069876,0.376837941,73.27039028
Mahindra Blazo X 35,347.4741201,2935.140896,11.16090259,413.2417841,4.277536394,1846.884325,39.85982858,89.11617227,106.9257064,314.2827247,149.4521243,12.09078495,0.478291323,78.34790564
Tata 407,326.6924341,1685.832747,12.61709062,190.6938586,2.17209285,1310.302179,37.26926887,81.3395064,74.11995783,202.9146976,75.934019,27.0665014,0.10478167,87.75440228
Ashok Leyland 2518,421.8345793,1670.556369,10.01572637,472.3608588,0.262556664,1010.213801,48.07760473,88.31485707,92.28204346,314.3618187,85.46438006,41.72077742,0.156504295,85.85228736
Tata 407,297.1460737,1328.993523,4.408793742,113.4311801,2.257472072,1397.704402,18.14414053,85.86432197,61.69569544,216.7042357,85.29312233,29.15686006,0.789735433,80.90180094
Volvo FH 520,286.7174927,1982.644689,14.38025535,280.3715384,3.541430789,1729.886274,56.74116442,82.58111786,80.90776919,306.192428,108.1854851,30.81606378,0.96402445,73.1638778
Volvo FH 520,310.6488221,2768.718351,16.04636912,208.1952607,4.93718032,1526.556228,55.19422108,98.98358857,85.14928941,232.0482287,107.6209797,18.22222506,0.474814603,89.62117272
Volvo FH 520,466.0578707,1630.34969,4.526605898,362.8796451,0.690977137,1829.839889,50.69038477,93.5700769,73.64175842,354.565642,105.051431,31.60105605,0.888097292,73.06247576
Tata 407,320.0506338,2360.596486,5.167278234,424.3900546,1.630215276,1536.838174,29.28968462,94.48638728,119.1131841,298.4195447,147.9619203,45.56166569,0.56194417,79.76481151
Volvo FH 520,415.1982297,1166.350981,13.09475108,383.8281466,3.329714152,1269.035956,54.96293584,93.54191453,112.385562,217.0898142,91.58132176,48.44415694,0.966314645,79.2677086
Mahindra Blazo X 35,279.2971849,2820.761059,18.76244516,171.3004898,1.686411392,1686.376314,37.23311006,99.32387147,83.05196913,244.3321711,70.25473752,19.62154867,0.967666237,73.7187402
Volvo FH 520,444.1485433,1565.493005,13.14809094,173.2172603,4.416055242,1552.430654,89.0484994,99.70497455,99.18996636,376.583132,80.31038503,44.80702437,0.910280806,77.01591285
Eicher Pro 6025,292.4193909,2527.030858,16.68205189,252.3263054,3.613237433,2309.534591,46.95413337,92.2469316,77.91894988,328.0464735,93.88600383,16.4380657,0.348863855,84.70382693
Ashok Leyland 2518,198.4089508,1104.581142,5.811517751,297.4112367,1.657261007,1213.187673,32.28013166,88.21576826,82.81515934,201.8088084,135.1248414,11.50399411,0.823693189,73.14312668
Tata 407,161.4663936,2886.312245,9.359407619,463.4378025,4.189257563,2222.186668,77.24527519,82.50531648,80.31958487,274.4976037,88.70284679,33.52197867,0.485778689,80.8364647
Volvo FH 520,397.9772608,2676.124134,13.67218537,299.4810192,0.894411766,1027.235733,41.78580292,95.3295848,112.8048704,293.3688982,137.2579888,28.61611463,0.230938435,88.18470152
Tata 407,229.1615975,2531.654253,18.62162103,205.9239803,2.482021076,2057.053617,57.05820752,82.17693428,91.89158792,246.8390596,108.604819,15.68985052,0.784185262,86.95524902
Tata 407,298.9843226,2365.677139,9.743422169,381.4026156,4.394224913,1695.241529,29.56001969,85.43903771,117.6159962,206.2484955,104.866976,29.06202248,0.985116088,87.73696112
Mahindra Blazo X 35,494.3774598,1753.230268,6.429409382,398.8523228,4.063056515,1577.564868,76.13830885,91.25079898,103.8910147,287.2291667,96.86160928,44.26925867,0.682484684,74.78090803
Mahindra Blazo X 35,159.7717388,2234.809407,6.63753482,167.6308072,0.346857441,1249.060742,37.53746807,82.51497366,71.47748763,324.8427089,59.31004823,31.00996455,0.131849315,71.03483325
Eicher Pro 6025,368.8831512,1915.901956,11.05652501,306.0577472,0.408453921,1457.436123,67.85503221,90.62340697,114.1525991,396.2928588,142.4503886,26.91273694,0.416441,71.71548035
Tata 407,318.9480821,2309.732125,17.98406036,330.9144664,2.154696043,2230.615033,41.9243243,96.4781697,100.1691827,319.4852627,66.86899964,43.98896702,0.143053352,82.64226608
Eicher Pro 6025,195.1730193,2953.751461,9.288487115,265.9906645,4.055107781,1819.359002,60.84349705,84.35759308,107.0369534,394.1420723,79.504225,20.47722392,0.546341061,84.89408976
Eicher Pro 6025,338.9972833,2653.806566,13.22657974,402.8006138,4.118365566,1854.631066,92.39614874,84.02665833,109.5358711,257.1420745,133.4269115,26.47481064,0.770989793,73.00083919
Tata 407,175.8213907,1955.479338,6.482155611,151.9909237,0.881714143,1661.952764,41.76493194,93.98626603,84.27995271,265.3725817,142.0056004,23.73979771,0.606803044,86.16288963
Ashok Leyland 2518,467.542876,2344.936317,8.594323127,256.6691484,2.914100325,1467.700592,77.57652471,97.47946617,79.88917695,291.1723281,122.466597,34.79783567,0.55795054,85.9588072
Tata 407,349.8119283,1648.232017,12.42190119,109.0890039,3.990724285,2174.030788,70.64314895,96.62652437,75.19669195,218.5647582,115.5845515,24.59116295,0.843595079,89.84744517
Volvo FH 520,498.9089916,2464.320028,10.02635731,249.7869702,0.285151844,1597.219382,96.4620914,90.66225589,87.64484739,350.0383004,75.47683295,37.15283968,0.140802023,75.83015579
Tata 407,359.9747606,1705.983743,12.10647195,442.9650607,0.779933908,1209.665635,84.67930946,85.87653549,105.8993451,367.0394255,93.01247853,20.02537097,0.824025692,87.05907618
Eicher Pro 6025,206.0651182,2779.546901,11.71955055,319.6093207,1.467215347,1152.300813,19.42176746,92.21434991,72.51939796,298.9684962,132.4328891,48.87376384,0.831164912,80.27196109
Mahindra Blazo X 35,245.9943192,1719.776889,9.674874267,321.0859024,4.989088758,1416.466082,59.73712893,80.36900755,119.8990153,247.4030437,64.29551554,12.6964247,0.161462267,82.47563845
Ashok Leyland 2518,206.8263891,1730.882718,19.17519769,401.6104812,0.95118192,1409.411214,39.01966606,89.51383764,63.41241839,206.4268946,94.36803048,10.65669192,0.543759622,77.12256145
Volvo FH 520,153.9379979,1909.086775,10.08526798,424.6389449,0.887485823,1362.641231,84.78959342,82.53250929,105.660765,338.7353874,87.41463732,27.73917484,0.754797579,73.82705872
Mahindra Blazo X 35,232.9613902,1656.647208,6.326923598,315.3529314,2.636215815,2433.013695,21.2944404,89.18126301,104.4095853,309.4544945,81.88892973,24.53513616,0.377540453,74.05573128
Ashok Leyland 2518,243.8958357,1530.376307,17.06974788,142.5789519,4.219020069,1972.645494,43.24950614,96.2423741,99.65165585,293.719526,130.0591341,31.75920165,0.822110564,71.09980598
Volvo FH 520,278.8123612,1953.720383,7.773358651,165.7496528,4.686336346,1495.119442,98.31285796,97.63855156,78.05426853,390.1016282,52.85989932,36.96682532,0.59369138,88.11727603
Tata 407,411.6866005,2614.159265,8.196503633,356.7682194,1.638592999,2025.222922,65.40727343,99.77616561,103.4532304,359.5010843,115.9196285,13.43927129,0.236042955,78.38517081
Volvo FH 520,354.9591725,1409.253461,10.40520615,464.4515359,2.399113823,1495.099611,59.80777474,81.20062619,103.022881,324.9719056,80.89791152,47.91760022,0.139393834,77.79458548
Tata 407,276.4780525,1540.773794,19.3529298,154.3206786,0.448917613,1355.851477,60.3911507,83.87055815,78.80436718,300.6410802,94.3045894,40.63754496,0.771515671,89.05658464
Eicher Pro 6025,419.0229467,1585.347302,18.0985199,461.0719629,2.771636457,1103.268484,90.45133151,84.14071307,60.1307217,218.8844584,146.9562987,46.69055083,0.400950338,79.76136623
Volvo FH 520,455.2778818,2812.748924,14.8569523,194.759074,1.098257854,1237.976464,94.19596467,99.28357929,103.1669255,213.7006886,114.4327842,41.89682013,0.937391386,87.16236658
Ashok Leyland 2518,206.608556,2243.049969,12.3352425,223.1254423,2.613811282,1145.698285,92.15151516,88.90733815,113.0026551,243.2789334,116.8823303,17.2982876,0.199067611,77.89738188
Volvo FH 520,405.680889,1135.073094,13.55087688,247.2549118,3.240833952,2413.118732,67.96259909,83.93915024,68.2791201,351.7985058,101.8984199,18.71237856,0.714533014,82.14260001
Mahindra Blazo X 35,324.3046451,2300.1952,14.42405728,317.1805163,0.163037112,2072.577849,24.35655924,80.84841708,111.6471669,330.0232358,92.8754204,16.97098143,0.390710121,74.68490171
Tata 407,226.5507359,1990.632341,5.627087389,423.0607445,3.159218681,1562.522174,31.55906245,93.36315005,98.38252922,381.6208615,133.5949068,16.45095425,0.129641905,89.90326208
Ashok Leyland 2518,333.0163333,2331.358852,5.992072422,197.5368938,3.488618012,2039.075626,55.53470595,97.65845105,60.50765586,300.7592537,95.90876762,16.6241283,0.145233395,86.36111528
Mahindra Blazo X 35,240.6125443,2172.55992,13.98520938,452.9719997,1.178664217,1248.878086,63.76379248,81.6548589,66.21744055,298.968769,127.8603223,32.19489401,0.283971214,73.16521694
Eicher Pro 6025,277.413511,1131.680034,5.146665665,137.5970163,0.103717006,1072.823983,50.96378065,82.88495789,84.5844725,227.209008,88.177549,26.79453115,0.476506523,72.3508035
Mahindra Blazo X 35,180.1474933,1022.195428,6.885853718,424.1336536,3.755296198,1191.885172,97.53919497,80.99484144,80.41452853,235.0739182,149.7734135,15.90165846,0.154760768,78.43970589
Eicher Pro 6025,349.9117922,1577.14924,11.16602807,141.6116621,4.578244165,1987.81238,75.3823168,90.02383859,104.6357638,283.2370696,79.16379705,22.94328604,0.467632607,84.73171371
Eicher Pro 6025,223.9056554,2450.94329,10.14234192,403.5961459,4.088090738,1850.577126,97.54191951,86.65392857,61.42720293,392.961736,136.9706448,37.07276748,0.217061496,82.26053965
Eicher Pro 6025,399.7868386,1458.786745,15.20552258,307.0706971,0.671624322,2044.276975,74.40424093,98.1479845,96.19455739,305.9864336,113.5044825,42.6149894,0.395809653,80.14195171
Ashok Leyland 2518,389.4542409,2065.025248,17.40714475,349.717576,1.801092677,1895.919929,25.17032963,87.6249768,64.35359626,332.8518878,64.99795618,20.25566415,0.545481196,73.02667374
Eicher Pro 6025,365.6820785,2129.187486,19.01368079,157.2666936,4.391614102,1779.107549,87.35731923,89.5094299,119.9844014,374.0129453,106.0842175,31.13267828,0.321542709,80.56322707
Tata 407,360.2792527,1048.417304,14.29680168,306.3034366,1.725859701,1549.706792,75.36970332,91.49222915,75.34915881,376.0155316,139.7666986,16.23036513,0.410716872,78.59773093
Eicher Pro 6025,322.5213311,1254.949987,9.811666137,497.6559154,2.206344508,1128.800752,73.31834743,87.16964905,98.08789498,297.148516,101.5676982,34.36083877,0.809534622,70.30516892
Ashok Leyland 2518,491.5964968,2017.894413,8.653376571,468.7102938,1.666889204,2330.719503,54.56818822,97.22164787,102.7874223,385.2922449,137.196838,34.23462868,0.88283337,87.96006709
Tata 407,406.0266444,1756.810702,5.410075837,267.5871682,0.221884488,1767.664912,29.47163379,87.87347692,96.04837189,380.4701822,58.90203136,43.46923493,0.125076125,79.89173601
Mahindra Blazo X 35,263.9074631,2137.063434,13.76005152,344.7352476,2.609225839,2467.465245,21.34892494,91.91740704,68.66624087,200.1799163,134.0219713,38.72877022,0.680689626,77.07814645
Tata 407,438.329414,2717.529906,6.899518191,232.157054,4.039007994,1868.871539,94.22541478,91.83338391,62.20599144,272.5679917,71.21510814,21.5344542,0.845271153,76.49278407
Volvo FH 520,168.5563356,1142.127744,8.932507433,173.3185171,4.599245474,1504.407671,46.29418989,97.57994264,104.2953934,252.1669327,88.10864549,21.49264148,0.321484185,73.50750384
Ashok Leyland 2518,328.2885483,2244.559482,7.028061474,322.3600134,1.908299647,2230.106931,39.43402063,80.29429019,86.29104111,326.5945534,78.75058081,12.59376751,0.626534486,77.95111465
Eicher Pro 6025,312.7312145,2315.777711,13.20750483,325.9590512,0.243620511,1196.469583,19.79007799,83.49860852,92.27805821,364.6321067,149.2242508,19.45421844,0.946969417,84.9864883
Eicher Pro 6025,492.2454207,2155.366177,14.05662021,368.9161257,3.843114414,1194.349751,20.91666914,98.93912508,104.9363239,241.6804538,63.41120999,45.81051646,0.177246895,74.3084972
Mahindra Blazo X 35,303.369427,2685.959775,16.57913086,486.9405723,3.664514023,1218.430618,24.37326639,83.02599918,80.48201835,218.041577,73.89326242,33.42082781,0.763909877,81.82689903
Eicher Pro 6025,288.4828894,2484.503327,5.482218942,454.0168462,1.328174904,1912.028529,27.85024779,99.10867192,85.83540155,358.2891388,107.4930046,19.28345207,0.549473559,77.35966424
Eicher Pro 6025,473.9348189,2279.185915,13.85263278,372.2559465,0.488660431,2218.466447,88.44691735,96.67600636,95.89932242,239.7113611,93.65623924,11.62206453,0.139490544,71.45078027
Volvo FH 520,232.1648259,1456.35825,4.809978562,395.2329239,3.127826333,1573.60876,78.15646206,80.18595806,93.2950241,314.9760612,99.33994779,49.03151604,0.642289278,89.95366218
Mahindra Blazo X 35,440.4335053,2147.780529,7.519777823,143.408249,3.578048343,1102.482195,92.16530938,92.49178134,93.42425394,294.3784553,72.33785814,33.78816368,0.738223106,83.43109955
Eicher Pro 6025,171.549589,2632.516559,11.82670637,418.5008262,4.092893385,1458.851171,58.70442949,97.37959132,117.2839003,271.5132454,134.8882456,20.26771695,0.624811317,73.25481115
Eicher Pro 6025,486.9613189,1078.679033,18.28733245,319.864751,1.616196085,1514.924978,82.65349317,86.66712704,100.9374192,222.8809603,72.86947544,30.5708724,0.639071405,72.53096203
Mahindra Blazo X 35,338.4814145,1333.281662,8.656253452,128.0037259,0.867335482,1935.445958,71.58391761,82.51690187,71.35090407,236.2528644,84.6434298,36.66423809,0.192384983,88.037398
Tata 407,348.5598906,2694.330282,18.19758329,319.4322294,2.145711453,1470.422433,48.77634069,92.57209669,84.77773477,246.3808106,148.533054,43.89003154,0.315100278,89.40719191
Ashok Leyland 2518,357.2985064,2384.465012,12.94356299,190.9441746,1.258672672,1620.818263,65.33443756,80.02330222,93.99642901,268.2169501,138.4430932,42.47294107,0.261263575,88.53960138
Ashok Leyland 2518,458.8420997,2948.939386,8.916179558,466.8022831,2.438363296,2480.431004,74.56964963,92.70666792,91.54686591,262.7212477,102.6431649,39.36461207,0.650108464,87.66008027
Ashok Leyland 2518,429.6475044,1983.058386,9.932670251,380.3851157,4.436458491,1114.510811,85.86269556,87.60546934,109.7996455,347.0063433,147.8322007,33.96202645,0.495422293,76.44753399
Eicher Pro 6025,361.7340381,1209.672714,6.004712532,428.1544285,4.803280858,1116.022032,95.0065826,80.70552667,109.5285273,216.5347786,61.14722152,28.86986833,0.828946799,78.96320476
Volvo FH 520,239.8469935,2968.836788,14.17394251,347.1550693,4.934704385,1144.906156,41.27866734,86.65245948,91.44932079,292.7410464,116.3004921,42.72447391,0.512030484,87.75996184
Volvo FH 520,203.3209447,1574.050806,10.41787639,216.9863133,3.19114592,1786.057248,28.99574382,99.94410298,110.4631196,271.0976569,113.0067889,14.76440378,0.220766488,78.8203738
Mahindra Blazo X 35,234.004252,1316.813757,8.121158679,484.933408,4.998879808,1238.907602,18.79871796,93.67971734,88.21961639,224.869526,84.34270041,39.39909116,0.831184389,89.26193247
Tata 407,378.703505,1903.57685,4.744696992,348.7596624,4.59419952,1204.272705,83.70983204,95.96296218,95.69541027,270.6160446,99.88547971,35.96097081,0.647960046,71.27548705
Tata 407,334.7752979,2797.329418,10.12201787,237.6797335,1.810655481,1600.596599,89.91487883,87.80812792,69.19521649,216.3633044,139.0901634,24.86424029,0.704025717,87.42542129
Volvo FH 520,414.8655516,2994.582199,8.285030858,187.5749675,1.685381301,1060.422785,89.04214017,90.33942241,72.78265925,231.4858505,101.1284909,14.75709955,0.193551328,73.99919699
Eicher Pro 6025,174.8246721,2855.289458,13.33639401,320.8640068,2.272047964,2379.36516,96.92833196,87.55652632,72.04182492,327.3385086,91.04249637,17.00097293,0.670350862,81.60628712
Mahindra Blazo X 35,167.0032272,2706.836315,17.06639609,385.7394831,3.603684497,1641.772113,24.10184676,82.51182632,100.0767752,387.2023983,117.291489,15.16280306,0.93446262,72.08707563
Tata 407,312.3466551,2226.422907,5.879368943,292.2450848,4.639311879,1044.303008,16.65481343,93.16579927,91.34281441,355.0989474,88.68178092,41.27149227,0.314210339,76.82285211
Tata 407,374.7871806,1982.018029,13.68203608,371.895827,3.106537492,1969.40324,16.24490175,84.13846342,77.23965822,328.8922049,109.3887995,35.93827529,0.210559094,88.22529428
Mahindra Blazo X 35,423.5854924,1424.966819,4.425813136,482.1085893,0.240779143,1768.067307,34.68029198,91.78117801,69.08555169,328.6052064,84.76304244,31.16136405,0.115597268,87.15420347
Tata 407,498.2298674,2327.202528,11.02056924,232.048288,4.547848821,2029.074501,23.18215057,98.82723542,73.95431625,306.3719713,78.57194267,39.25504885,0.613420542,77.29753176
Eicher Pro 6025,364.2206509,1039.892674,8.780631968,404.2093026,3.64173353,2260.98583,21.24943313,93.73985218,95.75900015,398.3332298,146.6703839,49.91866683,0.553606389,73.77210518
Eicher Pro 6025,436.8344298,2009.532649,15.41092441,127.5381117,2.374479149,1378.709683,19.26612235,81.73720758,61.41096777,363.4560467,140.0162283,45.21391772,0.177628805,72.44595583
Mahindra Blazo X 35,237.8138168,1541.844671,15.29819974,456.7433425,0.593619853,1477.412043,44.14976486,91.79255077,70.69988758,383.6682864,111.7892223,43.92748694,0.3330424,81.30750615
Tata 407,495.5258215,1685.139692,18.99372748,256.7668186,0.868651409,1615.603078,10.42046369,82.83534363,75.45019159,332.3716329,82.36126911,11.81667816,0.980790014,73.55507423
Ashok Leyland 2518,187.8826902,1414.515605,7.598677154,194.8035309,3.292090298,1626.872912,45.13081511,90.88696498,94.10945676,287.3516166,78.19608135,41.11382398,0.580803694,79.77250604
Ashok Leyland 2518,496.6879924,1810.730688,6.766724102,176.6246334,4.48675314,1314.40512,12.75170192,97.32554593,112.4852569,368.6467669,128.3086495,45.03173249,0.87618563,77.01975036
Volvo FH 520,461.1460384,1972.81997,14.8582771,286.5835363,1.321502992,1739.667151,43.17108268,95.51514975,96.27698875,376.3243528,86.09395522,45.8956194,0.378056009,74.47426474
